REPORT_DATE,SECTOR,VALUE,VALUE_K,VALUE_CHG,VALUE_CHG_PCT,REPORT_DATE_DT,IS_LATEST
15-Jan-22,Shipping,1323,13.23,,,2022-01-15,No
31-Jan-22,Shipping,1306,13.06,-17.0,-1.28,2022-01-31,No
15-Feb-22,Shipping,1281,12.81,-25.0,-1.91,2022-02-15,No
28-Feb-22,Shipping,1299,12.99,18.0,1.41,2022-02-28,No
15-Mar-22,Shipping,1396,13.96,97.0,7.47,2022-03-15,No
31-Mar-22,Shipping,1413,14.13,17.0,1.22,2022-03-31,No
15-Apr-22,Shipping,1510,15.1,97.0,6.86,2022-04-15,No
15-Jan-22,Software & Services,761570,7615.7,,,2022-01-15,No
31-Jan-22,Software & Services,674361,6743.61,-87209.0,-11.45,2022-01-31,No
15-Feb-22,Software & Services,669891,6698.91,-4470.0,-0.66,2022-02-15,No
28-Feb-22,Software & Services,641185,6411.85,-28706.0,-4.29,2022-02-28,No
15-Mar-22,Software & Services,665220,6652.2,24035.0,3.75,2022-03-15,No
31-Mar-22,Software & Services,689838,6898.38,24618.0,3.7,2022-03-31,No
15-Apr-22,Software & Services,655965,6559.65,-33873.0,-4.91,2022-04-15,No
15-Jan-22,Sovereign,0,0.0,,,2022-01-15,No
31-Jan-22,Sovereign,0,0.0,,,2022-01-31,No
15-Feb-22,Sovereign,0,0.0,,,2022-02-15,No
28-Feb-22,Sovereign,0,0.0,,,2022-02-28,No
15-Mar-22,Sovereign,0,0.0,,,2022-03-15,No
31-Mar-22,Sovereign,0,0.0,,,2022-03-31,No
15-Apr-22,Sovereign,0,0.0,,,2022-04-15,No
30-Apr-22,Sovereign,0,0.0,,,2022-04-30,No
15-May-22,Sovereign,0,0.0,,,2022-05-15,No
31-May-22,Sovereign,0,0.0,,,2022-05-31,No
15-Jun-22,Sovereign,0,0.0,,,2022-06-15,No
30-Jun-22,Sovereign,0,0.0,,,2022-06-30,Yes
15-Jul-22,Sovereign,0,0.0,,,2022-07-15,Yes
31-Jul-22,Sovereign,0,0.0,,,2022-07-31,Yes
15-Aug-22,Sovereign,0,0.0,,,2022-08-15,Yes
31-Aug-22,Sovereign,0,0.0,,,2022-08-31,Yes
15-Sep-22,Sovereign,0,0.0,,,2022-09-15,Yes
15-Jan-22,Surface Transportation,152,1.52,,,2022-01-15,No
31-Jan-22,Surface Transportation,138,1.38,-14.0,-9.21,2022-01-31,No
15-Feb-22,Surface Transportation,127,1.27,-11.0,-7.97,2022-02-15,No
28-Feb-22,Surface Transportation,125,1.25,-2.0,-1.57,2022-02-28,No
15-Mar-22,Surface Transportation,117,1.17,-8.0,-6.4,2022-03-15,No
31-Mar-22,Surface Transportation,124,1.24,7.0,5.98,2022-03-31,No
15-Apr-22,Surface Transportation,142,1.42,18.0,14.52,2022-04-15,No
15-Jan-22,Telecom Services,120735,1207.35,,,2022-01-15,No
31-Jan-22,Telecom Services,117878,1178.78,-2857.0,-2.37,2022-01-31,No
15-Feb-22,Telecom Services,115172,1151.72,-2706.0,-2.3,2022-02-15,No
28-Feb-22,Telecom Services,108790,1087.9,-6382.0,-5.54,2022-02-28,No
15-Mar-22,Telecom Services,109836,1098.36,1046.0,0.96,2022-03-15,No
31-Mar-22,Telecom Services,118186,1181.86,8350.0,7.6,2022-03-31,No
15-Apr-22,Telecom Services,117487,1174.87,-699.0,-0.59,2022-04-15,No
30-Apr-22,Telecommunication,115643,1156.43,,,2022-04-30,No
15-May-22,Telecommunication,105874,1058.74,-9769.0,-8.45,2022-05-15,No
31-May-22,Telecommunication,108740,1087.4,2866.0,2.71,2022-05-31,No
15-Jun-22,Telecommunication,103657,1036.57,-5083.0,-4.67,2022-06-15,No
30-Jun-22,Telecommunication,102684,1026.84,-973.0,-0.94,2022-06-30,Yes
15-Jul-22,Telecommunication,100453,1004.53,-2231.0,-2.17,2022-07-15,Yes
31-Jul-22,Telecommunication,107869,1078.69,7416.0,7.38,2022-07-31,Yes
15-Aug-22,Telecommunication,110564,1105.64,2695.0,2.5,2022-08-15,Yes
31-Aug-22,Telecommunication,115523,1155.23,4959.0,4.49,2022-08-31,Yes
15-Sep-22,Telecommunication,124057,1240.57,8534.0,7.39,2022-09-15,Yes
15-Jan-22,Telecommunications Equipment,971,9.71,,,2022-01-15,No
31-Jan-22,Telecommunications Equipment,822,8.22,-149.0,-15.35,2022-01-31,No
15-Feb-22,Telecommunications Equipment,813,8.13,-9.0,-1.09,2022-02-15,No
28-Feb-22,Telecommunications Equipment,738,7.38,-75.0,-9.23,2022-02-28,No
15-Mar-22,Telecommunications Equipment,739,7.39,1.0,0.14,2022-03-15,No
31-Mar-22,Telecommunications Equipment,779,7.79,40.0,5.41,2022-03-31,No
15-Apr-22,Telecommunications Equipment,789,7.89,10.0,1.28,2022-04-15,No
30-Apr-22,Textiles,21635,216.35,,,2022-04-30,No
15-May-22,Textiles,19201,192.01,-2434.0,-11.25,2022-05-15,No
31-May-22,Textiles,20479,204.79,1278.0,6.66,2022-05-31,No
15-Jun-22,Textiles,18647,186.47,-1832.0,-8.95,2022-06-15,No
30-Jun-22,Textiles,17992,179.92,-655.0,-3.51,2022-06-30,Yes
15-Jul-22,Textiles,19126,191.26,1134.0,6.3,2022-07-15,Yes
31-Jul-22,Textiles,20812,208.12,1686.0,8.82,2022-07-31,Yes
15-Aug-22,Textiles,21007,210.07,195.0,0.94,2022-08-15,Yes
31-Aug-22,Textiles,21706,217.06,699.0,3.33,2022-08-31,Yes
15-Sep-22,Textiles,21421,214.21,-285.0,-1.31,2022-09-15,Yes
15-Jan-22,"Textiles, Apparels & Accessories",80292,802.92,,,2022-01-15,No
31-Jan-22,"Textiles, Apparels & Accessories",74072,740.72,-6220.0,-7.75,2022-01-31,No
15-Feb-22,"Textiles, Apparels & Accessories",75200,752.0,1128.0,1.52,2022-02-15,No
28-Feb-22,"Textiles, Apparels & Accessories",74662,746.62,-538.0,-0.72,2022-02-28,No
15-Mar-22,"Textiles, Apparels & Accessories",75109,751.09,447.0,0.6,2022-03-15,No
31-Mar-22,"Textiles, Apparels & Accessories",75713,757.13,604.0,0.8,2022-03-31,No
15-Apr-22,"Textiles, Apparels & Accessories",75910,759.1,197.0,0.26,2022-04-15,No
15-Jan-22,Total Financial Services,1525995,15259.95,,,2022-01-15,No
31-Jan-22,Total Financial Services,1456978,14569.78,-69017.0,-4.52,2022-01-31,No
15-Feb-22,Total Financial Services,1433303,14333.03,-23675.0,-1.62,2022-02-15,No
28-Feb-22,Total Financial Services,1378160,13781.6,-55143.0,-3.85,2022-02-28,No
15-Mar-22,Total Financial Services,1302984,13029.84,-75176.0,-5.45,2022-03-15,No
31-Mar-22,Total Financial Services,1366611,13666.11,63627.0,4.88,2022-03-31,No
15-Apr-22,Total Financial Services,1397008,13970.08,30397.0,2.22,2022-04-15,No
15-Jan-22,Transport Related Services,10529,105.29,,,2022-01-15,No
31-Jan-22,Transport Related Services,9752,97.52,-777.0,-7.38,2022-01-31,No
15-Feb-22,Transport Related Services,8923,89.23,-829.0,-8.5,2022-02-15,No
28-Feb-22,Transport Related Services,8825,88.25,-98.0,-1.1,2022-02-28,No
15-Mar-22,Transport Related Services,8586,85.86,-239.0,-2.71,2022-03-15,No
31-Mar-22,Transport Related Services,9787,97.87,1201.0,13.99,2022-03-31,No
15-Apr-22,Transport Related Services,9915,99.15,128.0,1.31,2022-04-15,No
15-Jan-22,Transportation,66751,667.51,,,2022-01-15,No
31-Jan-22,Transportation,60550,605.5,-6201.0,-9.29,2022-01-31,No
15-Feb-22,Transportation,60911,609.11,361.0,0.6,2022-02-15,No
28-Feb-22,Transportation,56854,568.54,-4057.0,-6.66,2022-02-28,No
15-Mar-22,Transportation,55841,558.41,-1013.0,-1.78,2022-03-15,No
31-Mar-22,Transportation,60647,606.47,4806.0,8.61,2022-03-31,No
15-Apr-22,Transportation,63203,632.03,2556.0,4.21,2022-04-15,No
30-Apr-22,Utilities,413,4.13,,,2022-04-30,No
15-May-22,Utilities,346,3.46,-67.0,-16.22,2022-05-15,No
31-May-22,Utilities,372,3.72,26.0,7.51,2022-05-31,No
15-Jun-22,Utilities,333,3.33,-39.0,-10.48,2022-06-15,No
30-Jun-22,Utilities,336,3.36,3.0,0.9,2022-06-30,Yes
15-Jul-22,Utilities,347,3.47,11.0,3.27,2022-07-15,Yes
31-Jul-22,Utilities,362,3.62,15.0,4.32,2022-07-31,Yes
15-Aug-22,Utilities,375,3.75,13.0,3.59,2022-08-15,Yes
31-Aug-22,Utilities,393,3.93,18.0,4.8,2022-08-31,Yes
15-Sep-22,Utilities,414,4.14,21.0,5.34,2022-09-15,Yes
15-Jan-22,Utilities3,191229,1912.29,,,2022-01-15,No
31-Jan-22,Utilities3,196674,1966.74,5445.0,2.85,2022-01-31,No
15-Feb-22,Utilities3,190683,1906.83,-5991.0,-3.05,2022-02-15,No
28-Feb-22,Utilities3,195759,1957.59,5076.0,2.66,2022-02-28,No
15-Mar-22,Utilities3,195707,1957.07,-52.0,-0.03,2022-03-15,No
31-Mar-22,Utilities3,208308,2083.08,12601.0,6.44,2022-03-31,No
15-Apr-22,Utilities3,250902,2509.02,42594.0,20.45,2022-04-15,No
